Strike,CE LTP,CE OI,CE Volume,PE LTP,PE OI,PE Volume,timestamp
30550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30650,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30700,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30750,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30800,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30850,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30900,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
30950,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31000,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31050,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31100,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31150,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31200,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31250,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31300,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31350,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31400,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31450,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31500,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31550,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
31600,0.0,0,0,0.0,0,0,2026-01-12 02:55:25
